標題,連結
"臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人
臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人
/ch/about/history-and-evolution/chronicle/",https://www.nmns.edu.tw/ch/about/history-and-evolution/chronicle/
"探索921地震教育園區「921時光跡」過關贈禮🎁活動｜《達克比勇闖海洋風暴－實境解謎遊戲》集資計畫啟動！
丁天文台暑假大專生研習營臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人科博館在觀眾不能到達的研究區中，隱身著許多的研究人員，這些研究人員，每位都各有不同的本事，在他們的研究領域中鑽研探究。他們的研究成果，成就了一個博物館底蘊，想要一探這群神秘幕後推手，歡迎來參加「遇見科學家」活動。2025/07/08～07/10 ...
/epaper/Edm-000042/",https://www.nmns.edu.tw/epaper/Edm-000042/
"影像資料管理使用辦法
F 化石 E 民族 N :(Negative)負片 P :(Positive)正片 V :(Video tape)錄影帶 T :(Tape)錄音帶 國立自然科學博物館 蒐藏管理影像資料管理使用辦法 ...
/export/sites/nmns/ch/about/.galleries/files/20250421-6.pdf",https://www.nmns.edu.tw/export/sites/nmns/ch/about/.galleries/files/20250421-6.pdf
"海底的化石證據－澎湖水道動物群大發現
古生物學家總是不放過任何蛛絲馬跡，以拼圖的精神重塑遠古生物生活的場景。 三十幾年前，臺灣海峽海域漁民陸續打撈起冰河時期在澎湖海溝活動的哺乳類動物化石，正是所謂的「澎湖水道動物群」。科博館張鈞翔博士不斷追尋、解謎，經分類鑑定發現其中以體型比較大的古菱齒象、水牛的頭骨、牙齒和肢骨佔絕大多數，經過化石放射性年代測定，判斷這些骨頭的年代大約是兩萬年前左右。說明了冰河時期海平面下降，這些動物可能是因 ...
/ch/learn/online-museum/science-video/ResourceVideo-000085/",https://www.nmns.edu.tw/ch/learn/online-museum/science-video/ResourceVideo-000085/
"久違了，AKO!—重新認識古菱齒象
開始，雙方即共同研究臺灣海峽澎湖水道動物化石，並針對古菱齒象進行一系列之研究，經由化石的比對分析、補配修復、復原鑄模、複製裝架等工作，1996年10月終於完成古菱齒象複製骨架，成為本館展場的一員要角。古菱齒象,古化石 ...
/ch/learn/museum-education/theme/Theme-000211/",https://www.nmns.edu.tw/ch/learn/museum-education/theme/Theme-000211/
"EP.35 巨獸之路
Apple Podcast , KK Box, SoundOn, Spotify科博做伙講張博士與您分享臺灣的巨獸-古菱齒象，古生物學家透過從澎湖水道海底打撈上來的珍貴化石，從化石的形態測量，進而推算出這些動物的體重，重塑牠們的生態樣貌，原來就在臺灣的周遭，曾經有超過10噸的巨獸在此棲息悠遊。35分鐘更多關於古菱齒象 ...
/ch/learn/channel/video/ResourceVideo-000297/",https://www.nmns.edu.tw/ch/learn/channel/video/ResourceVideo-000297/
"真象告白 X 張鈞翔
科博館的展場中，矗立了一隻巨大的大象骨架，牠是澎湖附近海域所打撈出來的古菱齒象。臺灣竟然有大象！？來聽大象專家張鈞翔博士用神秘數字解讀大象習性，用冰原歷險記探討古生物世界，用化石特徵解構大象演化的歷程。真象告白 X 張鈞翔11陽光走道 ...
/ch/learn/channel/video/ResourceVideo-000043/",https://www.nmns.edu.tw/ch/learn/channel/video/ResourceVideo-000043/
"象群特展已過期
特展網站原來大象懷孕時間有21個月！ 科博館《象群特展》逾200件展品告訴你真「象」新聞稿你知道大象有多重嗎？你知道大象有多高嗎？你知道大象的力氣有多大嗎？你知道大象何時出現在地球上嗎？你知道大象有多重嗎？你知道大象有多高嗎？你知道大象的力氣有多大嗎？你知道大象何時出現在地球上嗎？今年夏天，科博館展出各式各樣的化石「真象」，將一一為你解答！ ...
/ch/exhibitions/special-exhibitions/Exhibition-000029/",https://www.nmns.edu.tw/ch/exhibitions/special-exhibitions/Exhibition-000029/
"澎湖原人大發現！已過期
澎湖原人#3澎湖原人#8澎湖原人#9澎湖原人#121澎湖原人大發現！澎湖原人#21zh-TW澎湖原人#11澎湖原人#5陽光走道澎湖原人#6澎湖原人#12澎湖原人#10澎湖原人#4 ...
/ch/exhibitions/special-exhibitions/Exhibition-000056/",https://www.nmns.edu.tw/ch/exhibitions/special-exhibitions/Exhibition-000056/
"澎湖原人大發現
人一起相伴相生又有哪些動物群？我們來看看化石，了解他們！澎湖原人大發現11張鈞翔 短肢領航鯨頭骨野豬頭骨最後鬣狗下顎骨淮河古菱齒象上顎骨棕熊下顎骨淮河古菱齒象下顎骨最後鬣狗頭骨德氏水牛頭骨大連馬下顎骨北京斑鹿角四不像鹿犄角澎湖原人下顎骨 查看更多臺灣最古老人類化石！科博館與跨國團隊研究證實澎湖原人化石是丹尼索瓦人
/ch/learn/museum-education/theme/Theme-000414/",https://www.nmns.edu.tw/ch/learn/museum-education/theme/Theme-000414/
